"Date","score","normalized_score"
2010-01-01,0.0237703233940233,0.90595276447921
2010-02-01,0.286547576647183,1.39259514000677
2010-03-01,-0.698678171328967,-0.4319638448005
2010-04-01,-0.270101060985582,0.361726554548144
2010-05-01,0.208525548244206,1.24810460752934
2010-06-01,-0.301050991559571,0.304409767990412
2010-07-01,0.209854903044304,1.25056646588972
2010-08-01,0.378476318643067,1.56283978953523
2010-09-01,-0.138463315205349,0.605509090983555
2010-10-01,-0.371162230130308,0.174569383151727
2010-11-01,-0.117686556112601,0.643985980727576
2010-12-01,-0.213243315644723,0.46702253400326
2011-01-01,-1.00742949871578,-1.00374651452059
2011-02-01,-0.32069635006004,0.268028141306962
2011-03-01,-0.131492189667099,0.618419055792292
2011-04-01,-0.168871892949884,0.54919484640258
2011-05-01,0.109476482183765,1.06467368950007
2011-06-01,0.0462435014035479,0.947571285857362
2011-07-01,-0.012262931289001,0.83922206979445
2011-08-01,1.19483985882025,3.0746795228746
2011-09-01,-0.453974743592366,0.0212072569567386
2011-10-01,-0.275200611476973,0.352282596463758
2011-11-01,-0.671809390889755,-0.382205020630626
2011-12-01,-0.322618099569723,0.2644692155058
2012-01-01,-0.400195764635603,0.120801608252253
2012-02-01,-0.346094122053825,0.220993506675724
2012-03-01,-0.684616471847298,-0.405922706326763
2012-04-01,-0.183879255248324,0.521402416316253
2012-05-01,0.0411831878387602,0.938199991410844
2012-06-01,0.278712259496032,1.37808476171396
2012-07-01,-0.327593745231321,0.25525471921829
2012-08-01,-0.0106895326543152,0.842135877743031
2012-09-01,-0.361270369607206,0.192888314656472
2012-10-01,-0.496258378250848,-0.0570986396206906
2012-11-01,-0.713944490760426,-0.460235842706386
2012-12-01,-0.318119731883498,0.272799831301955
2013-01-01,-0.179430564857184,0.529641033750333
2013-02-01,-0.611184664801408,-0.269932895269312
2013-03-01,-0.0893500891702742,0.696462842465631
2013-04-01,-0.400400499807698,0.120422455151028
2013-05-01,0.0492041558397809,0.95305418017233
2013-06-01,-0.297011873119708,0.311889891053874
2013-07-01,-0.175954064648133,0.536079233021046
2013-08-01,-0.697664924643476,-0.430087393289121
2013-09-01,0.0883840855474395,1.02561226436681
2013-10-01,0.251366538009307,1.32744268101608
2013-11-01,-0.747602775271939,-0.522568283311833
2013-12-01,-0.771100005228433,-0.566083266678103
2014-01-01,-0.684669956382176,-0.406021755391263
2014-02-01,-0.296639154027978,0.312580136887402
2014-03-01,-0.506774943964868,-0.0765744749835489
2014-04-01,-0.458817800332141,0.0122383047073274
2014-05-01,-0.455882507523016,0.0176742313250911
2014-06-01,-0.328550131481378,0.253483568668204
2014-07-01,-0.305401793514189,0.296352432081638
2014-08-01,-0.256063131695148,0.387723672536145
2014-09-01,-0.270816208722331,0.36040215835648
2014-10-01,-0.523402446732159,-0.107367275142586
2014-11-01,-0.416164254744204,0.0912292466272105
2014-12-01,-0.750938749598393,-0.528746239930324
2015-01-01,-1.14819053825784,-1.2644246585245
2015-02-01,-0.806980364972794,-0.632530812211877
2015-03-01,-0.860384953022794,-0.731431821606646
2015-04-01,-0.850129691277085,-0.712439900213888
2015-05-01,-0.131601730519316,0.61821619492865
2015-06-01,-0.300636991150894,0.305176463508587
2015-07-01,-0.344563417977554,0.223828247729923
2015-08-01,-0.324560076916804,0.260872829373802
2015-09-01,-0.614315961739387,-0.275731805797203
2015-10-01,-0.881162360227395,-0.769909911601785
2015-11-01,-0.723895426659318,-0.478664177064131
2015-12-01,-0.467495679091432,-0.00383243003733076
2016-01-01,-0.665028696529851,-0.36964771907511
2016-02-01,-0.161326139615629,0.563168975754595
2016-03-01,-0.715848089142582,-0.46376115407666
2016-04-01,-0.756953299606464,-0.539884703657385
2016-05-01,-0.577263955175105,-0.207114464420499
2016-06-01,-0.202199633537182,0.487474546606526
2016-07-01,-0.690750959124059,-0.417283284246078
2016-08-01,-0.475980394120455,-0.0195454410619954
2016-09-01,-0.0433613829555329,0.781630234097583
2016-10-01,-0.346764456225884,0.219752101607934
2016-11-01,-1.16990435132415,-1.30463689699465
2016-12-01,-0.814600370965868,-0.646642451526529
2017-01-01,-1.15107168092857,-1.26976030343347
2017-02-01,-0.581422489868684,-0.214815736798315
2017-03-01,-0.737370722371205,-0.503619342836608
2017-04-01,-0.72484119602237,-0.480415665991878
2017-05-01,-0.0572576856465478,0.755895397200988
2017-06-01,-0.543361315929096,-0.144329498465181
2017-07-01,-0.596023752942344,-0.241856103724683
2017-08-01,-0.451122927687925,0.0264885910491053
2017-09-01,-0.399729381010423,0.121665313281721
2017-10-01,-0.271258068677671,0.359583869194633
2017-11-01,-1.42020704550004,-1.76817739065129
2017-12-01,-1.09248950232874,-1.16127081203167
2018-01-01,-1.034359306726,-1.05361835685227
2018-02-01,-0.478178681415358,-0.0236164926391016
2018-03-01,-0.618117295233869,-0.282771570232769
2018-04-01,-0.152814061030872,0.578932661887552
2018-05-01,-0.210768649872389,0.471605416331076
2018-06-01,-0.567172889773454,-0.188426621474167
2018-07-01,-0.408925499019202,0.104634841054689
2018-08-01,-0.915888405619902,-0.83421975963192
2018-09-01,-0.630342572617463,-0.305411802420994
2018-10-01,-0.596277549342531,-0.242326114281376
2018-11-01,-0.857810375560057,-0.726663910849778
2018-12-01,-0.386502818281153,0.146159845540322
2019-01-01,0.0916370808512466,1.03163655049747
2019-02-01,-0.455415519038832,0.0185390565048739
2019-03-01,-0.303387932847133,0.300081940350962
2019-04-01,-0.278820818234767,0.345578264202486
2019-05-01,-0.449151064856865,0.0301403226980286
2019-06-01,-0.418047307536956,0.0877419840389763
2019-07-01,-0.328719923395595,0.253169127675093
2019-08-01,0.440454859113315,1.67761907043865
2019-09-01,-0.111736368646616,0.655005250194144
2019-10-01,-0.0997351765496471,0.677230494422589
2019-11-01,-0.226519477668463,0.442436147833461
2019-12-01,-0.289833121615564,0.325184362481858
2020-01-01,-0.255113828105174,0.389481706568399
2020-02-01,-0.276044700059894,0.350719412177207
2020-03-01,0.208951509903733,1.24889345432377
2020-04-01,0.506259419370987,1.79948383281018
2020-05-01,0.320388936565669,1.45526662156742
2020-06-01,-0.0538386574875185,0.762227162849298
2020-07-01,-0.412023495506312,0.0988976002882248
2020-08-01,-0.234032046932674,0.428523472714931
2020-09-01,-0.252520167886405,0.394284957057349
2020-10-01,-0.444750961194384,0.0382889614114944
2020-11-01,-0.463757807116253,0.00308980875959706
2020-12-01,-0.151778683253344,0.580850098404552
2021-01-01,-0.178993484785441,0.53045047095152
2021-02-01,-0.431060528134883,0.0636425442791032
2021-03-01,-0.858197070633803,-0.727380039079914
2021-04-01,-0.866815731745572,-0.743341107495748
2021-05-01,-0.67471212068046,-0.38758064315265
2021-06-01,-1.26849200094763,-1.48721330882825
2021-07-01,-0.859672695230479,-0.730112777360048
2021-08-01,-0.727848556802579,-0.485985056705995
2021-09-01,-0.469187473155275,-0.00696549681514267
2021-10-01,-1.03262171337082,-1.05040047346399
2021-11-01,-0.922212851383263,-0.845932125417296
2021-12-01,-0.36664845702946,0.182928528538915
2022-01-01,-0.981192583878961,-0.955157854715998
2022-02-01,-0.821826196183543,-0.660024099692585
2022-03-01,0.0323909184273543,0.921917414362507
2022-04-01,-0.801366503001343,-0.622134390558748
2022-05-01,-0.270295597319641,0.361366288876132
2022-06-01,0.325253052552805,1.46427457385217
2022-07-01,-1.06532206588731,-1.11095890092377
2022-08-01,-3.31118278060061,-5.27011263200856
2022-09-01,-0.876257683744268,-0.760826844534927
2022-10-01,-0.992376415033312,-0.975869412101862
2022-11-01,-2.72735833381797,-4.18891662985822
2022-12-01,-1.67071544200094,-2.23209882849869
2023-01-01,-0.211044846180873,0.47109392294263
2023-02-01,-1.35509101893026,-1.64758773738969
2023-03-01,0.978056342120294,2.67321385476196
2023-04-01,-0.0986922165170905,0.679161972667149
2023-05-01,0.661747562109894,2.08743538954531
2023-06-01,-0.877953337621534,-0.763967059377305
2023-07-01,-1.17451937133059,-1.31318354352223
2023-08-01,-0.873396343576156,-0.755527872270913
2023-09-01,-1.18510053065925,-1.3327790010734
2023-10-01,-0.879667379939242,-0.767141328135038
2023-11-01,-2.50048702998137,-3.76876918988285
2023-12-01,-0.589361231580495,-0.229517649073856
